Date,maximalism_score,minimalism_score,fashion_index
2021-04-01,0.2881827607218623,0.25079040292905863,0.03739235779280364
2021-05-01,0.19516058735736644,0.23215659364724348,-0.03699600628987704
2021-06-01,0.3882502547714196,0.3387596892141812,0.04949056555723841
2021-07-01,0.39923466523674805,0.25470386884655366,0.1445307963901944
2021-08-01,0.17886412122361037,0.28819898439289254,-0.10933486316928218
2021-09-01,0.7764626617823522,0.3883552830259667,0.3881073787563855
2021-10-01,1.0692618997949506,0.44480573626655123,0.6244561635283994
2021-11-01,0.7967051465292675,0.3230206367998038,0.4736845097294637
2021-12-01,1.1291785406321415,0.3191531622602149,0.8100253783719267
2022-01-01,0.6591007016675816,0.5927592588246429,0.06634144284293875
2022-02-01,0.7780473771053227,0.7445722302097098,0.03347514689561293
2022-03-01,0.8467210397708609,0.8591697677879093,-0.012448728017048438
2022-04-01,0.9113566985437455,0.8255064763779778,0.08585022216576765
2022-05-01,0.9164959513611087,0.8115430721428092,0.10495287921829954
2022-06-01,0.9542093912588696,0.6387061454063246,0.31550324585254497
2022-07-01,1.0050455275646424,0.8377309074056465,0.1673146201589959
2022-08-01,1.0372580488314287,0.9269978793834438,0.11026016944798489
2022-09-01,1.1902574347832402,1.0194109783040086,0.17084645647923158
2022-10-01,1.419217829316804,0.9133138044881873,0.5059040248286167
2022-11-01,1.43883051698071,0.6732722762134464,0.7655582407672636
2022-12-01,1.5967196788825873,0.6338524648451976,0.9628672140373896
2023-01-01,0.8708461105304673,0.7842103859490165,0.08663572458145086
2023-02-01,1.1185774672086402,0.8705890245453203,0.24798844266331987
2023-03-01,1.44100629913643,1.1410999293943689,0.2999063697420612
2023-04-01,1.4254056958326895,1.5616662111202047,-0.13626051528751515
2023-05-01,1.260784471365809,1.6627745540565457,-0.40199008269073677
2023-06-01,1.0259682343856862,1.7076161575992337,-0.6816479232135475
2023-07-01,1.2057634582346248,1.4927920751807138,-0.28702861694608894
2023-08-01,1.2135596130980197,1.5869935656265883,-0.3734339525285686
2023-09-01,1.3908246706712322,1.6936907664176082,-0.302866095746376
2023-10-01,1.6152118343950796,1.5186732646734948,0.09653856972158481
2023-11-01,1.405953039521662,1.396187812884636,0.009765226637026059
2023-12-01,1.616953798389822,1.3185248910620975,0.2984289073277244
2024-01-01,1.202152205167216,1.6425717517253275,-0.44041954655811155
2024-02-01,1.0802956241382993,1.5816313974862874,-0.5013357733479882
2024-03-01,0.8797325100840627,1.7101742165238385,-0.8304417064397758
2024-04-01,1.0652681986861297,1.6885407006498625,-0.6232725019637329
2024-05-01,1.1680223685530822,1.7534832478960414,-0.5854608793429592
2024-06-01,0.9001334606850291,1.5475554104502671,-0.647421949765238
2024-07-01,1.2949385579172128,1.5549620552315113,-0.2600234973142985
2024-08-01,1.1896082555728817,1.674602367945393,-0.4849941123725112
2024-09-01,1.7547850143040098,1.9078266803917692,-0.15304166608775938
2024-10-01,1.8286099044495494,1.705173680031871,0.12343622441767832
2024-11-01,1.1946117165821817,1.6635610665039984,-0.4689493499218167
2024-12-01,1.6516597389061112,1.420938410245201,0.23072132866091022
